Name,Short Code,Functional Group
Bare Substrate,BARE,Hard Substrate
Cyanobacteria,CYANOB,Other
Off,Off,Other
Amphiroa fragilissima,AMPH,Algae
Macroalgae: Encrusting: brown,BEM,Algae
Brown turfing algae,BTA,Algae
CCA (crustose coralline algae),CCA,Algae
Macroalge:Filamentous:Green:Chaetomorpha,CHAET,Algae
Cladophora sp.,Cldph,Algae
Dictyota,DICO,Algae
Macroalgae:Filamentous:Brown:Ectocarpus,ECTO,Algae
Macroalgae: Encrusting: green,GEM,Algae
Gelidiopsis,GLPS,Algae
Lobophora variegata,LOBO,Algae
Padina,Padina,Algae
Macroalge:Filamentous:Red:Polysiphonia,POLY,Algae
Rhizoclonium spp,RHIZO,Algae
Rhodophyta,RODO,Algae
Red Turf,RPu,Algae
Rosenvingea sp.,RSVG,Algae
Symploca hydnoides,SYM,Algae
Turbinaria ornata,TURB,Algae
Turf algae,Turf,Algae
