"site","zone","Row.names","Name","Image.ID","Image.name","Annotation.status","Points","tile","meta","com_treat","meta_treat","time_point","period","Date","MDS1","MDS2","nutrient_treat","herb_treat","nutrient_treat_sp","herb_treat_sp","site_treatment"
1,"A","66","p2152588.jpg",4027657,"P2152588.jpg","Confirmed",100,205,10,"C","complex","T5",NA,"2/15/24",-0.118304310463625,-0.367724810533667,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","402","p9141166.jpg",3694981,"P9141166.jpg","Confirmed",100,412,1,"S","simple","T3",NA,"9/14/23",0.445525354979054,0.0358800268579695,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","400","p9141162.jpg",3694979,"P9141162.jpg","Confirmed",100,145,2,"C","mix","T3",NA,"9/14/23",-0.196756435247901,0.0179090137054081,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","376","p9141107.jpg",3694953,"P9141107.jpg","Confirmed",100,522,9,"S","simple","T3",NA,"9/14/23",0.480702977501816,-0.0774054269462237,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","390","p9141141.jpg",3694969,"P9141141.jpg","Confirmed",100,196,13,"C","complex","T3",NA,"9/14/23",-0.524764192749694,0.172455815647139,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","620","pc051327.jpg",3952260,"PC051327.jpg","Confirmed",100,196,13,"C","complex","T4",NA,"12/5/24",-0.329329512147315,-0.233002093273338,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","617","pc051322.jpg",3952257,"PC051322.jpg","Confirmed",100,523,11,"S","mix","T4",NA,"12/5/24",0.0602294165885869,-0.238545504873852,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","387","p9141135.jpg",3694966,"P9141135.jpg","Confirmed",100,525,12,"S","mix","T3",NA,"9/14/23",0.509978381751576,0.0274750028767408,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","619","pc051326.jpg",3952259,"PC051326.jpg","Confirmed",100,179,13,"C","complex","T4",NA,"12/5/24",-0.285125825461396,-0.504289886255253,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","389","p9141140.jpg",3694968,"P9141140.jpg","Confirmed",100,179,13,"C","complex","T3",NA,"9/14/23",-0.267377131302127,-0.0529543145021617,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","73","p2152605.jpg",4027664,"P2152605.jpg","Confirmed",100,522,9,"S","simple","T5",NA,"2/15/24",0.49402729184894,-0.243966412577455,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","716","t2_181_ss.jpg",3504709,"T2_181_SS.jpg","Confirmed",100,181,10,"C","complex","T2",NA,"7/17/23",-0.223682513599499,0.0165407191033236,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","803","t2_402_ss.jpg",3504784,"T2_402_SS.jpg","Confirmed",100,402,7,"S","simple","T2",NA,"7/17/23",0.455977801195162,-0.0491650682594286,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","393","p9141149.jpg",3694972,"P9141149.jpg","Confirmed",100,239,5,"C","complex","T3",NA,"9/14/23",0.0484657903620047,-0.0260922822409594,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","607","pc051299.jpg",3952247,"PC051299.jpg","Confirmed",100,522,9,"S","simple","T4",NA,"12/5/24",0.579914374155336,-0.172949846261048,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","624","pc051336.jpg",3952264,"PC051336.jpg","Confirmed",100,412,1,"S","simple","T4",NA,"12/5/24",0.283175649442518,-0.135418401826321,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","605","pc051295.jpg",3952245,"PC051295.jpg","Confirmed",100,485,6,"S","mix","T4",NA,"12/5/24",0.332863709145135,-0.0728517233814883,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","396","p9141154.jpg",3694975,"P9141154.jpg","Confirmed",100,444,4,"S","simple","T3",NA,"9/14/23",0.608628922144457,-0.134433756878359,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","385","p9141130.jpg",3694964,"P9141130.jpg","Confirmed",100,181,10,"C","complex","T3",NA,"9/14/23",-0.247985200135251,-0.288214269821416,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","388","p9141137.jpg",3694967,"P9141137.jpg","Confirmed",100,260,12,"C","mix","T3",NA,"9/14/23",-0.18902535514136,-0.0141588803518174,"low","high","low nutrients","high herbivore","LN_HH_1"
1,"A","399","p9141161.jpg",3694978,"P9141161.jpg","Confirmed",100,374,2,"S","mix","T3",NA,"9/14/23",0.458908112222479,-0.0803640338429825,"low","high","low nutrients","high herbivore","LN_HH_1"
