"NMDS1","NMDS2","species","pval","r2"
0.270918992469701,0.447591793818702,"BARE",0.001,0.273735514374641
-0.0834310425235189,-0.15860672944538,"CYANOB",0.001,0.032116833481921
-0.242030833967956,0.649610500610804,"AMPH",0.001,0.480572727095043
0.0632947891551878,-0.0738128676799207,"BEM",0.019,0.00945456976933315
-0.642572768619388,0.0609684787088488,"BTA",0.001,0.416616918367256
0.721366349993784,-0.46599886180544,"CCA",0.001,0.73752435010732
-0.0771453602852558,0.12605877229918,"CHAET",0.001,0.0218422206871183
-0.0800967009301034,0.126422510400025,"Cldph",0.004,0.0223981326357309
-0.0587444824952724,-0.125098574458024,"DICO",0.003,0.0191005675550671
-0.143925842847641,0.384793292613623,"ECTO",0.001,0.168780526279837
0.183968905271521,0.50744793896362,"GEM",0.001,0.291347968865227
-0.033668344251285,0.055581285646365,"GLPS",0.124,0.00422283671872586
-0.0122127718245977,-0.243511925232854,"LOBO",0.001,0.059447209526251
-0.107337112660051,-0.233182943946365,"Padina",0.001,0.0658955411016902
-0.0617484461635319,-0.226081516543779,"POLY",0.001,0.0549257227263457
-0.0951160966700254,-0.161483302788997,"RHIZO",0.001,0.0351239289253845
-0.0472607834492372,-0.127059746683707,"RODO",0.001,0.0183777608795634
-0.046915416618388,0.0763347647116443,"RPu",0.039,0.008028052620059
-0.0934389833484437,0.0778419873419786,"RSVG",0.004,0.0147902186025395
-0.231088088160437,0.171428367714444,"SYM",0.001,0.0827893897468846
-0.199147196098051,-0.00761931068116697,"TURB",0.001,0.0397176596089718
-0.609876324643753,-0.333719833552875,"Turf",0.001,0.483318058667531
