Name,Short Code,Functional Group
Acrosorium ciliolatum,ACCI,Algae
Ahnfeltiopsis sp.,AHNF,Algae
Bare Substrate,BARE,Hard Substrate
Macroalgae: Encrusting: brown,BEM,Algae
Black crust,BlackCru,Algae
Bryozoan,bryozoan,Other Invertebrates
Brown turfing algae,BTA,Algae
Caulerpa brownii,CAB,Algae
Caulerpa geminata,CAUG,Algae
Macroalgae:Erectcoarseb:brown:caulocystis,CAUL,Algae
CCA (crustose coralline algae),CCA,Algae
Champia spp,ChSpp,Algae
Cladophora sp.,Cldph,Algae
Caulerpa,CLRPA_spp,Algae
Caulerpa sedoides,CLSed,Algae
Codium fragile,CodErc,Algae
Caulerpa taxifolia,Ctax,Algae
Cyanobacteria,CYANOB,Other
Cystoseira sp,cysto,Algae
Dictyota,Dictyota,Algae
Dictyopteris,Dty,Algae
Pavement and Erect CCA,ECCA,Hard Substrate
Macroalgae: Large canopy-forming : Ecklonia,ECKL,Algae
Macroalgae: Encrusting: green,GEM,Algae
Macroalgae: Filamentous / filiform : green,GFA,Algae
Neptune's Necklace - Hormosira banksii,HORMOSIRA.,Algae
Jania,Jania,Algae
Laurencia spp.,Limu,Algae
Lobophora,Lobophora,Algae
Macroalgae: Globose: brown: Colpomenia,MGBC,Algae
Nizymenia furcata,NIZY,Algae
Notheia anomala,NTHA,Algae
Off,Off,Other
Padina,Padina,Algae
Phyllospora comosa,Phyllo,Algae
Plocamium spp.,PLOC,Algae
Macroalge:Filamentous:Red:Polysiphonia,POLY,Algae
Macroalgae: Filamentous / filiform : red,REM,Algae
Sargassum,Sargassum,Algae
Scytosiphon lomentaria,Scyto,Algae
Sediment,Sediment,Soft Substrate
Turf algae,Turf,Algae
Ulva,Ulva,Algae
Undaria pinnatifida,UPIN,Algae
