"site","urchin_stat","zone","Row.names","Image.ID","Image.name","Annotation.status","Points","Name","metacom_treatment","tile_number","complex_treatment","meta_treatment","time_point","file","site_treatment","site_code","metacom_site_code","MDS1","MDS2","nutrient_treat","herb_treat","nutrient_treat_sp","herb_treat_sp"
"Jawbone","Barren","Deep","197",4074698,"P3223857.jpg","Confirmed",100,"P3223857.jpg",3,772,"simple","simple",3,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T3/bulk/Jawbone/P3223857.JPG","Barren_Deep","JBD","JBD_3",0.410810311982808,-0.333087426180479,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","266",4212709,"P5130189.jpg","Confirmed",100,"P5130189.jpg",7,731,"simple","simple",4,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T4/bulk/Jawbone/P5130189.JPG","Barren_Deep","JBD","JBD_7",-0.177710576008134,-0.532551488520657,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","269",4212712,"P5130200.jpg","Confirmed",100,"P5130200.jpg",2,641,"complex","complex",4,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T4/bulk/Jawbone/P5130200.JPG","Barren_Deep","JBD","JBD_2",0.872516839175855,-0.159235383644442,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","196",4074690,"P3223853.jpg","Confirmed",100,"P3223853.jpg",2,633,"complex","complex",3,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T3/bulk/Jawbone/P3223853.JPG","Barren_Deep","JBD","JBD_2",0.599915469786217,-0.753283789706782,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","208",4074761,"P3223878.jpg","Confirmed",100,"P3223878.jpg",7,731,"simple","simple",3,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T3/bulk/Jawbone/P3223878.JPG","Barren_Deep","JBD","JBD_7",-0.60520105343745,0.566787573203188,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","271",4212715,"P5130208.jpg","Confirmed",100,"P5130208.jpg",3,772,"simple","simple",4,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T4/bulk/Jawbone/P5130208.JPG","Barren_Deep","JBD","JBD_3",-0.33018707517245,0.539040798532035,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","268",4212711,"P5130195.jpg","Confirmed",100,"P5130195.jpg",1,691,"complex","mix",4,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T4/bulk/Jawbone/P5130195.JPG","Barren_Deep","JBD","JBD_1",0.570635307755844,-0.481995420589705,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","255",4212697,"P5130141.jpg","Confirmed",100,"P5130141.jpg",9,601,"complex","mix",4,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T4/bulk/Jawbone/P5130141.JPG","Barren_Deep","JBD","JBD_9",0.534421937174374,-0.182782931194203,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","270",4212713,"P5130202.jpg","Confirmed",100,"P5130202.jpg",2,633,"complex","complex",4,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T4/bulk/Jawbone/P5130202.JPG","Barren_Deep","JBD","JBD_2",1.11921316002685,-0.662663881379226,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","205",4074738,"P3223874.jpg","Confirmed",100,"P3223874.jpg",1,812,"simple","mix",3,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T3/bulk/Jawbone/P3223874.JPG","Barren_Deep","JBD","JBD_1",-0.026335010036697,-0.542342540190922,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","44",3985226,"P1081752.jpg","Confirmed",100,"P1081752.jpg",6,68,"complex","complex",2,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T2/Jawbone/Barren_deep/P1081752.JPG","Barren_Deep","JBD","JBD_6",-0.0302771534863668,-0.219185870484545,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","222",4074880,"P3223916.jpg","Confirmed",100,"P3223916.jpg",14,75,"complex","complex",3,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T3/bulk/Jawbone/P3223916.JPG","Barren_Deep","JBD","JBD_14",0.284124711870304,-0.467541787629081,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","204",4074731,"P3223872.jpg","Confirmed",100,"P3223872.jpg",6,68,"complex","complex",3,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T3/bulk/Jawbone/P3223872.JPG","Barren_Deep","JBD","JBD_6",0.620353064374656,-0.756447959927907,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","221",4074875,"P3223914.jpg","Confirmed",100,"P3223914.jpg",14,90,"complex","complex",3,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T3/bulk/Jawbone/P3223914.JPG","Barren_Deep","JBD","JBD_14",0.304998583806879,-0.501064621328465,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","202",4074723,"P3223869.jpg","Confirmed",100,"P3223869.jpg",5,84,"complex","complex",3,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T3/bulk/Jawbone/P3223869.JPG","Barren_Deep","JBD","JBD_5",0.284026456387142,-0.144813961268169,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","262",4212705,"P5130166.jpg","Confirmed",100,"P5130166.jpg",14,75,"complex","complex",4,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T4/bulk/Jawbone/P5130166.JPG","Barren_Deep","JBD","JBD_14",0.0497360504241542,-0.312322271784534,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","256",4212698,"P5130144.jpg","Confirmed",100,"P5130144.jpg",9,814,"simple","mix",4,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T4/bulk/Jawbone/P5130144.JPG","Barren_Deep","JBD","JBD_9",0.635428130007758,-0.262015782726358,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","212",4074797,"P3223889.jpg","Confirmed",100,"P3223889.jpg",9,601,"complex","mix",3,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T3/bulk/Jawbone/P3223889.JPG","Barren_Deep","JBD","JBD_9",0.601293124041609,-0.0294033105055019,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","410",4433763,"P8010592.jpg","Confirmed",100,"P8010592.jpg",7,732,"simple","simple",5,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T5/bulk/Jawbone/P8010592.JPG","Barren_Deep","JBD","JBD_7",-0.201390286716714,-0.337793821425408,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","267",4212710,"P5130194.jpg","Confirmed",100,"P5130194.jpg",1,812,"simple","mix",4,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T4/bulk/Jawbone/P5130194.JPG","Barren_Deep","JBD","JBD_1",0.0122602010992226,-0.380106633249351,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","195",4074682,"P3223852.jpg","Confirmed",100,"P3223852.jpg",2,641,"complex","complex",3,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T3/bulk/Jawbone/P3223852.JPG","Barren_Deep","JBD","JBD_2",0.522887500609932,-0.01588976127379,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","264",4212707,"P5130179.jpg","Confirmed",100,"P5130179.jpg",4,548,"simple","mix",4,"/Users/icarus3/Dropbox/UNIMELB/PhD Work/Projects/4_Herbiv_experiment/Exp_3_OCT2022/Data/PPB_Data/Photos/T4/bulk/Jawbone/P5130179.JPG","Barren_Deep","JBD","JBD_4",0.267015413206663,-0.668648913339981,"high","high","high nutrients","high herbivore"
"Jawbone","Barren","Deep","487",3792232,"PA180161.jpg","Confirmed",100,"PA180161.jpg",13,831,"simple","mix",1,"PA180161.jpg","Barren_Deep","JBD","JBD_13",-0.433028889081117,0.147095144092504,"high","high","high nutrients","high herbivore"
